('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         754041 function calls (729990 primitive calls) in 9.827 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    42/30    0.000    0.000    0.010    0.000 css_parser.py:569(parse_pseudo_class)
       10    0.000    0.000    0.002    0.000 enum.py:483(_create_)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      336    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      232    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
        1    0.000    0.000    0.056    0.056 css_parser.py:1(<module>)
      291    0.000    0.000    0.000    0.000 socket.py:730(readable)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        5    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
      176    0.000    0.000    0.006    0.000 sre_parse.py:97(closegroup)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      505    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.000    0.000 adapters.py:202(__init__)
       11    0.000    0.000    0.000    0.000 parse.py:473(urlsplit)
       55    0.000    0.000    0.131    0.002 client.py:624(_safe_read)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      513    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 client.py:239(HTTPResponse)
       93    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       57    0.000    0.000    0.001    0.000 abc.py:105(__new__)
      582    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       37    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      288    0.000    0.000    0.000    0.000 element.py:2160(get)
    31/17    0.000    0.000    0.160    0.009 {built-in method builtins.__import__}
      408    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:732(parse_pseudo_open)
      385    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
       19    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
      190    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       62    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
        1    0.000    0.000    0.070    0.070 client.py:206(_read_headers)
       36    0.000    0.000    0.008    0.000 response.py:469(_decode)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      179    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      270    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.003    0.002 request.py:1(<module>)
       52    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
       25    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      320    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
        1    0.000    0.000    4.410    4.410 api.py:62(get)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       54    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
        1    0.000    0.000    0.003    0.003 sessions.py:457(prepare_request)
        1    0.000    0.000    0.000    0.000 request.py:2524(proxy_bypass_environment)
      197    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
      168    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    1.080    1.080 client.py:311(begin)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
